t,V,current_A,omega_rad_s,energy_J
0.0,10.0,0.0,0.0,0.0
0.0050062578222778474,10.0,0.0995961128330321,0.012160697537610758,0.0024805858356855216
0.010012515644555695,10.0,0.19808065010215678,0.04791313757670045,0.009820464329985484
0.015018773466833543,10.0,0.29535074517265797,0.10582109120846293,0.021864006185233837
0.02002503128911139,10.0,0.39131159595338605,0.18449433963858,0.03845138208868989
0.025031289111389236,10.0,0.48587615614723845,0.2825883587161371,0.05941819068051331
0.030037546933667086,10.0,0.5789648312970167,0.3988039440589699,0.0845952918986807
0.03504380475594493,10.0,0.6705051798645787,0.5318867808767973,0.11380881679466516
0.04005006257822278,10.0,0.7604316195587664,0.6806269624485466,0.14688032731625178
0.04505632040050063,10.0,0.8486851391060873,0.8438584610670369,0.18362710184645184
0.05006257822277847,10.0,0.9352130156375588,1.0204585551228158,0.2238625244680909
0.05506883604505632,10.0,1.0199685378454477,1.2093472158595535,0.2673965579911814
0.06007509386733417,10.0,1.1029107350448564,1.4094864571961203,0.31403628273439266
0.06508135168961202,10.0,1.1840041122571827,1.6198796518754353,0.3635864848932802
0.07008760951188986,10.0,1.2632183914154103,1.8395708170674276,0.4158502800575648
0.07509386733416772,10.0,1.3405282587749316,2.067643872423151,0.47062975905938254
0.08010012515644556,10.0,1.4159131185981642,2.30322187344926,0.5277266448462703
0.0851063829787234,10.0,1.4893568531665609,2.5454662229468203,0.586942950479366
0.09011264080100126,10.0,1.5608475891597147,2.7935758631357768,0.6480816296618974
0.0951188986232791,10.0,1.6303774704281053,3.0467864509664855,0.7109472124088517
0.10012515644555695,10.0,1.697942437173606,3.3043695190025195,0.7753464195793259
0.1051314142678348,10.0,1.7635420115401281,3.565631624144489,0.8410887510122467
0.11013767209011265,10.0,1.827179089605737,3.829913486353045,0.907987042937857
0.11514392991239049,10.0,1.888859739757178,4.096589119420407,0.9758579911856569
0.12015018773466835,10.0,1.9485930074179927,4.365064955733839,1.0445226374784526
0.1251564455569462,10.0,2.006390726092271,4.634778966871412,1.1138068167960355
0.13016270337922403,10.0,2.062267334677549,4.905199781770222,1.1835415644149037
0.13516896120150187,10.0,2.116239700992393,5.175825804109887,1.253563481786542
0.14017521902377972,10.0,2.168326951456803,5.446184330459733,1.323715060910214
0.1451814768460576,10.0,2.21855030685672,5.715830670646502,1.393844967291028
0.15018773466833543,10.0,2.266932924117532,5.984347271710684,1.4638082819541716
0.15519399249061328,10.0,2.3134997440056653,6.251342846733751,1.533466703315616
0.16020025031289112,10.0,2.358277344671937,6.5164515097354725,1.602688709991899
0.16520650813516896,10.0,2.4012938009454525,6.779331917760284,1.6713496858705812
0.1702127659574468,10.0,2.4425785492823486,7.039666421194189,1.7393320089620108
0.17521902377972465,10.0,2.48216225826964,7.297160223278964,1.8065251057155836
0.18022528160200252,10.0,2.520076704580784,7.551540549718384,1.872825472612891
0.18523153942428036,10.0,2.5563546542763174,7.80255582920187,1.938136666949108
0.1902377972465582,10.0,2.59102974934005,8.049974885604264,2.0023692687855874
0.19524405506883605,10.0,2.6241363993387528,8.293586142556292,2.0654408161036475
0.2002503128911139,10.0,2.6557096780911063,8.533196841018727,2.1272757152145516
0.20525657071339173,10.0,2.6857852252297927,8.768632270434283,2.1878051284861693
