cell,amb,n_cycles,rmse_physics,mae_physics,rmse_ml,mae_ml,rmse_hybrid,mae_hybrid,rmse_persistence,mae_persistence,rmse_drift,mae_drift,mase_hybrid,theilU_hybrid,crps_hybrid
B0005,24.0,168,0.013942371759995808,0.012197083100597281,0.17641179367335277,0.1595371057537159,0.023338135088157307,0.021901049213329762,0.08956115623566156,0.07934841740443699,0.06508348551182214,0.05498701429753443,5.204810951105825,0.260583226803681,0.027784846662937797
B0006,24.0,168,0.08492658835724652,0.07752824967122322,0.17584262291488648,0.1471790805266469,0.08402420351715821,0.07634876364313618,0.07987874654438383,0.0668837524093459,0.06047586985087787,0.05587410687391835,9.133297089054741,1.0518968705958724,0.06616251256395701
B0007,24.0,168,0.0109775955300886,0.00770153923193758,0.1437735242404697,0.13074501538066646,0.01046639428565865,0.00816703495491913,0.06615395484234664,0.05785227665759202,0.08624169170153947,0.07514408729721103,2.437032921696585,0.1582126769382331,0.019762662284899816
B0018,24.0,132,0.016978488390484926,0.015004332627960451,0.1393739094185584,0.12849328180072156,0.02122982985066613,0.0193674289615236,0.06545340133074731,0.059975904758960336,0.054722706956813194,0.05030286813656426,2.3632145464252514,0.32435029225430384,0.024146876987786125
B0045,4.0,70,0.04304070438847837,0.03297089432931632,0.11128441604464388,0.10847993903072371,0.05582948470263078,0.05021672177405169,0.06374243175881603,0.060070555069407915,0.22567350615641715,0.18998295864768536,3.1302838664909154,0.8758606027751549,0.03728897169270181
B0046,4.0,69,0.03007349068673331,0.025803260523129968,0.04791339130882033,0.04196249224692459,0.02678349015603532,0.0212151445918687,0.07284720960051796,0.06913211028069996,0.2970354291130121,0.2693104690076729,1.705573537993295,0.36766665879052257,0.019242492357678782
B0047,4.0,69,0.03695376597999516,0.03299524244394823,0.06263383746302742,0.055661873524264396,0.0375686043271276,0.029872194852226933,0.06119975441643793,0.05792178503346922,0.09981612763277191,0.09480828271285155,2.281380637288789,0.6138685471103276,0.02461029448851105
B0048,4.0,69,0.03644831705048997,0.03261470752761788,0.05246140627399508,0.046548336986128425,0.037260215605114735,0.029747599261772808,0.05476918784149132,0.05102248803336884,0.18854875737046156,0.17421524521478174,2.5644255495690085,0.6803134585992096,0.02403183790237501
