t_hours,power_MW,V_upper_m3,V_lower_m3,net_head_m,energy_MWh
0.0,100.0,200000.0,12000000.0,301.6,203.83
1.873210255191029e-05,100.0,200002.05091032127,11999997.949089678,301.6000414283885,203.83168556127242
0.00020605312807101317,100.0,200022.5599980334,11999977.440001966,301.60045571196025,203.8485411739914
0.002079263383262042,100.0,200227.6493251331,11999772.350674868,301.60459851636773,204.01709730068583
0.018745930049928708,100.0,202052.28328298935,11997947.716717012,301.6414561223164,205.51680546005818
0.03541259671659538,100.0,203876.69422907787,11996123.305770924,301.6783092234274,207.01651354810605
0.05207926338326205,100.0,205700.88224511824,11994299.117754884,301.7151578213514,208.51622156482944
0.06874593004992871,100.0,207524.84741278007,11992475.152587222,301.75200191773814,210.01592951022843
0.08541259671659537,100.0,209348.58981368318,11990651.410186319,301.7888415142364,211.51563738430298
0.10207926338326205,100.0,211172.10952939754,11988827.890470603,301.82567661249385,213.01534518705316
0.11874593004992871,100.0,212995.40664144335,11987004.593358558,301.8625072141571,214.51505291847883
0.1354125967165954,100.0,214818.48123129108,11985181.51876871,301.8993333208721,216.0147605785801
0.15207926338326205,100.0,216641.33338036155,11983358.666619638,301.93615493428325,217.514468167357
0.16874593004992872,100.0,218463.96317002588,11981536.036829975,301.9729720560345,219.01417568480952
0.18541259671659538,100.0,220286.3706816056,11979713.629318396,302.00978468776844,220.51388313093756
0.20207926338326204,100.0,222108.5559963727,11977891.444003629,302.04659283112676,222.0135905057412
0.2187459300499287,100.0,223930.51919554968,11976069.48080445,302.0833964877501,223.5132978092205
0.23541259671659537,100.0,225752.26036030948,11974247.73963969,302.12019565927824,225.0130050413753
0.25207926338326203,100.0,227573.77957177567,11972426.220428225,302.15699034734985,226.5127122022057
0.2687459300499287,100.0,229395.07691102242,11970604.923088977,302.1937805536026,228.01241929171186
0.28541259671659536,100.0,231216.15245907454,11968783.847540924,302.2305662796733,229.5121263098935
0.302079263383262,100.0,233037.00629690755,11966962.993703092,302.26734752719756,231.0118332567508
0.31874593004992874,100.0,234857.63850544766,11965142.36149455,302.30412429781006,232.5115401322837
0.3354125967165954,100.0,236678.04916557192,11963321.950834427,302.3408965931446,234.01124693649223
0.35207926338326206,100.0,238498.23835810815,11961501.761641892,302.37766441483376,235.51095366937642
0.3687459300499287,100.0,240318.20616383504,11959681.793836165,302.41442776450947,237.01066033093625
0.3854125967165954,100.0,242137.95266348223,11957862.047336519,302.4511866438023,238.51036692117162
0.40207926338326205,100.0,243957.4779377302,11956042.52206227,302.4879410543421,240.01007344008275
0.4187459300499287,100.0,245776.78206721053,11954223.21793279,302.52469099775766,241.5097798876694
0.4354125967165954,100.0,247595.86513250577,11952404.134867495,302.5614364756766,243.0094862639318
0.45207926338326204,100.0,249414.72721414952,11950585.272785852,302.59817748972586,244.50919256886974
0.4687459300499287,100.0,251233.36839262655,11948766.631607374,302.6349140415311,246.00889880248337
0.48541259671659537,100.0,253051.78874837272,11946948.211251628,302.67164613271717,247.50860496477267
0.502079263383262,100.0,254869.98836177515,11945130.011638226,302.7083737649079,249.00831105573764
0.5187459300499287,100.0,256687.96731317212,11943312.03268683,302.74509693972607,250.50801707537826
0.5354125967165954,100.0,258505.72568285326,11941494.27431715,302.7818156587936,252.00772302369452
0.5520792633832621,100.0,260323.26355105947,11939676.736448944,302.81852992373143,253.50742890068648
0.5687459300499287,100.0,262140.58099798302,11937859.41900202,302.85523973615926,255.0071347063541
0.5854125967165954,100.0,263957.67810376757,11936042.321896236,302.8919450976961,256.5068404406974
0.6020792633832621,100.0,265774.5549485083,11934225.445051495,302.92864600995983,258.00654610371635
0.6187459300499287,100.0,267591.2116122517,11932408.788387751,302.9653424745675,259.506251695411
0.6354125967165954,100.0,269407.64817499596,11930592.351825006,303.00203449313494,261.00595721578134
0.6520792633832622,100.0,271223.86471669073,11928776.135283312,303.03872206727715,262.50566266482736
0.6687459300499288,100.0,273039.8613172374,11926960.138682766,303.0754051986082,264.00536804254904
0.6854125967165955,100.0,274855.63805648877,11925144.361943515,303.11208388874104,265.50507334894644
0.7020792633832621,100.0,276671.19501424953,11923328.804985754,303.14875813928785,267.00477858401956
0.7187459300499288,100.0,278486.5322702761,11921513.467729727,303.1854279518596,268.5044837477683
0.7354125967165954,100.0,280301.64990427654,11919698.350095727,303.2220933280664,270.0041888401928
0.7520792633832621,100.0,282116.5479959108,11917883.452004092,303.2587542695174,271.503893861293
0.7687459300499287,100.0,283931.2266247907,11916068.773375211,303.29541077782073,273.00359881106897
0.7854125967165955,100.0,285745.68587047985,11914254.314129522,303.3320628545837,274.5033036895206
0.8020792633832621,100.0,287559.92581249395,11912440.074187508,303.36871050141235,276.00300849664796
0.8187459300499288,100.0,289373.94653030054,11910626.0534697,303.4053537199121,277.502713232451
0.8354125967165954,100.0,291187.74810331926,11908812.251896681,303.4419925116871,279.0024178969298
0.8520792633832621,100.0,293001.3306109217,11906998.669389078,303.47862687834066,280.5021224900843
0.8687459300499287,100.0,294814.6941324317,11905185.305867568,303.51525682147513,282.00182701191454
0.8854125967165954,100.0,296627.83874712506,11903372.161252875,303.5518823426919,283.50153146242053
0.9020792633832622,100.0,298440.76453422994,11901559.23546577,303.58850344359143,285.00123584160224
0.9187459300499288,100.0,300253.47157292656,11899746.528427074,303.62512012577315,286.5009401494597
0.9354125967165955,100.0,302065.9599423475,11897934.040057654,303.6617323908354,288.000644385993
0.9520792633832621,100.0,303878.22972157755,11896121.770278424,303.6983402403759,289.5003485512019
0.9687459300499288,100.0,305690.2809896539,11894309.719010348,303.734943675991,291.0000526450866
0.9854125967165954,100.0,307502.11382556614,11892497.886174435,303.77154269927644,292.49975666764703
1.002079263383262,100.0,309313.7283082562,11890686.271691745,303.8081373118268,293.9994606188833
1.0187459300499289,100.0,311125.1245166185,11888874.875483382,303.8447275152357,295.4991644987952
1.0354125967165955,100.0,312936.3025295,11887063.697470501,303.8813133110959,296.99886830738296
1.052079263383262,100.0,314747.26242570014,11885252.737574302,303.91789470099917,298.4985720446465
1.0687459300499287,100.0,316558.004283971,11883441.995716032,303.9544716865362,299.9982757105858
1.0854125967165955,100.0,318368.52818301716,11881631.471816985,303.99104426929694,301.49797930520083
1.1020792633832621,100.0,320178.83420149604,11879821.165798506,304.0276124508702,302.9976828284917
1.1187459300499287,100.0,321988.9224180176,11878011.077581985,304.064176232844,304.4973862804583
1.1354125967165953,100.0,323798.79291114456,11876201.207088858,304.10073561680514,305.9970896611007
1.1520792633832622,100.0,325608.4457593925,11874391.55424061,304.1372906043397,307.4967929704188
1.1687459300499288,100.0,327417.8810412298,11872582.118958773,304.17384119703286,308.9964962084129
1.1854125967165954,100.0,329227.0988350776,11870772.901164925,304.21038739646855,310.4961993750826
1.2020792633832622,100.0,331036.09921931004,11868963.900780693,304.24692920423007,311.9959024704282
1.2187459300499288,100.0,332844.8822722541,11867155.117727749,304.28346662189955,313.4956054944496
1.2354125967165954,100.0,334653.4480721898,11865346.551927812,304.3199996510582,314.9953084471467
1.252079263383262,100.0,336461.7966973503,11863538.203302652,304.3565282932865,316.49501132851975
1.2687459300499289,100.0,338269.9282259215,11861730.07177408,304.3930525501636,317.9947141385686
1.2854125967165955,100.0,340077.8427360427,11859922.157263959,304.42957242326804,319.49441687729313
1.302079263383262,100.0,341885.54030580615,11858114.459694196,304.4660879141773,320.9941195446936
1.3187459300499287,100.0,343693.0210132574,11856306.978986744,304.50259902446777,322.4938221407699
1.3354125967165955,100.0,345500.28493639507,11854499.715063605,304.5391057557152,323.99352466552205
1.3520792633832621,100.0,347307.3321531711,11852692.667846829,304.57560810949406,325.4932271189499
1.3687459300499287,100.0,349114.1627414908,11850885.837258508,304.61210608737815,326.99292950105365
1.3854125967165953,100.0,350920.7767792127,11849079.223220786,304.6485996909401,328.4926318118333
1.4020792633832622,100.0,352727.17434414866,11847272.82565585,304.6850889217518,329.9923340512887
1.4187459300499288,100.0,354533.35551406414,11845466.644485934,304.7215737813841,331.49203621941996
1.4354125967165954,100.0,356339.3203666779,11843660.67963332,304.7580542714069,332.9917383162271
1.4520792633832622,100.0,358145.06897966214,11841854.931020334,304.79453039338915,334.4914403417101
1.4687459300499288,100.0,359950.6014306427,11840049.398569353,304.83100214889896,335.9911422958689
1.4854125967165954,100.0,361755.917797199,11838244.082202796,304.8674695395034,337.4908441787035
1.502079263383262,100.0,363561.0181568639,11836438.98184313,304.9039325667687,338.9905459902141
1.5187459300499289,100.0,365365.90258712415,11834634.097412871,304.9403912322599,340.49024773040037
1.5354125967165955,100.0,367170.57116541994,11832829.428834576,304.97684553754146,341.9899493992627
1.552079263383262,100.0,368975.0239691453,11831024.97603085,305.01329548417675,343.48965099680083
1.5687459300499287,100.0,370779.261075648,11829220.738924349,305.0497410737281,344.9893525230149
