cell,skill
B0045,-0.8434047125122315
B0048,-0.6288682967321604
B0047,-0.5040680704037579
B0046,-0.11421090039688142
B0006,0.4919965624902468
B0018,0.6379918581775512
B0005,0.6488342089694599
B0007,0.8056893619260197
