pit
0.15
0.1
0.025
0.05
0.05
0.925
0.375
0.25
0.25
0.225
0.175
0.25
0.175
0.175
0.175
0.15
0.175
0.15
0.275
0.125
0.375
0.35
0.25
0.35
0.25
0.375
0.3
0.375
0.175
0.25
0.4
0.275
0.25
0.325
0.5
0.45
0.425
0.4
0.55
0.3
0.45
0.425
0.325
0.425
0.425
0.45
0.45
0.35
0.45
0.375
0.3
0.55
0.425
0.35
0.475
0.425
0.525
0.55
0.35
0.4
0.425
0.325
0.4
0.425
0.325
0.35
0.55
0.55
0.475
0.45
0.4
0.5
0.5
0.525
0.5
0.3
0.5
0.55
0.6
0.625
0.475
0.4
0.5
0.6
0.25
0.375
0.5
0.5
0.475
1.0
1.0
1.0
1.0
1.0
1.0
0.975
1.0
1.0
1.0
1.0
0.975
0.975
1.0
1.0
1.0
1.0
0.975
1.0
1.0
0.975
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
0.275
0.125
0.35
0.275
0.3
1.0
0.725
0.675
0.55
0.4
0.35
0.325
0.45
0.275
0.4
0.3
0.3
0.3
0.4
0.5
0.5
0.3
0.55
0.525
0.4
0.475
0.275
0.475
0.5
0.425
0.4
0.45
0.475
0.425
0.45
0.55
0.5
0.65
0.425
0.65
0.475
0.475
0.375
0.4
0.45
0.3
0.25
0.4
0.65
0.675
0.6
0.4
0.5
0.45
0.65
0.425
0.475
0.425
0.6
0.325
0.5
0.55
0.55
0.475
0.6
0.625
0.675
0.675
0.675
0.525
0.525
0.525
0.55
0.4
0.6
0.425
0.425
0.425
0.475
0.525
0.65
0.525
0.575
0.575
0.05
0.0
0.05
0.025
0.425
0.425
0.3
0.25
0.25
0.225
0.15
0.225
0.225
0.2
0.25
0.2
0.425
0.275
0.25
0.45
0.6
0.35
0.225
0.525
0.55
0.45
0.425
0.525
0.5
0.375
0.4
0.35
0.45
0.475
0.375
0.375
0.35
0.4
0.475
0.55
0.65
0.575
0.65
0.5
0.6
0.425
0.525
0.55
0.55
0.35
0.575
0.675
0.35
0.35
0.575
0.65
0.775
0.625
0.475
0.55
0.575
0.525
0.625
0.6
0.675
0.55
0.1
0.5
0.55
0.6
0.65
0.525
0.75
0.8
0.7
0.725
0.75
0.6
0.775
0.75
0.75
0.725
0.7
0.6
0.65
0.675
0.75
0.7
0.625
0.65
0.65
0.75
0.575
0.65
0.65
0.575
0.725
0.725
0.7
0.725
0.7
0.6
0.925
0.9
0.725
0.6
0.725
0.45
0.375
0.325
0.425
0.325
0.275
0.325
0.4
0.375
0.35
0.375
0.25
0.8
0.8
0.575
0.625
0.5
0.55
0.625
0.65
0.625
0.5
0.575
0.775
0.7
0.7
0.725
0.625
0.725
1.0
0.975
0.8
0.65
0.45
0.575
0.525
0.35
0.3
0.475
0.325
0.425
0.475
0.5
0.5
0.5
0.35
0.375
0.575
0.7
0.7
0.7
0.65
0.475
0.7
0.75
0.65
0.6
0.725
0.725
0.625
0.875
0.775
0.7
0.725
1.0
1.0
0.875
0.7
0.6
0.65
0.45
0.525
0.575
0.4
0.525
0.425
0.525
0.4
0.275
0.275
0.35
0.375
0.675
0.725
0.7
0.45
0.6
0.575
0.625
0.65
0.7
0.525
0.675
0.775
0.675
0.575
0.625
0.675
0.65
