predicted_eol_cycle
100.0
95.0
104.0
103.0
94.0
98.0
101.0
96.0
106.0
94.0
103.0
97.0
101.0
99.0
105.0
106.0
103.0
94.0
94.0
103.0
96.0
97.0
96.0
96.0
96.0
107.0
96.0
92.0
101.0
102.0
101.0
95.0
98.0
105.0
99.0
98.0
103.0
105.0
106.0
98.0
