hour,strategy,signal,soc_pct,cum_shortfall
37,Degradation-aware,6.760773688352178,75.9697164547928,0.23513771171473152
38,Degradation-aware,5.986393657878589,79.56527741543314,0.23513771171473152
39,Degradation-aware,6.123540483799585,83.5202781243702,0.23513771171473152
40,Degradation-aware,6.729716629811869,89.16596781128345,0.23513771171473152
41,Degradation-aware,8.419154564586542,95.0,0.47027540104639254
42,Degradation-aware,10.384745789191053,90.16096269882895,0.47027540104639254
43,Degradation-aware,12.547600736927674,46.99588865441386,0.47027540104639254
44,Degradation-aware,11.813785267628578,16.83410835617597,0.47027540109345156
45,Degradation-aware,7.742095129486823,16.83410835617597,0.4702754019279707
46,Degradation-aware,6.972347705900083,16.83410835617597,0.47027540283973523
47,Degradation-aware,6.155568325267603,17.70216386217639,0.47027540283973523
0,Robust (calibrated UQ),6.00050928317325,50.42462196166312,0.0
1,Robust (calibrated UQ),6.09081531859374,52.75486020959468,0.0
2,Robust (calibrated UQ),5.9253099193333165,55.06269214891339,0.0
3,Robust (calibrated UQ),5.769972559467261,57.33341768783035,0.0
4,Robust (calibrated UQ),6.013882085111406,59.6097144225474,0.0
5,Robust (calibrated UQ),6.152693690535771,61.72121983107416,0.0
6,Robust (calibrated UQ),7.157743726104794,64.06431278072823,0.0
7,Robust (calibrated UQ),8.667176169143126,66.16379999596161,0.0
8,Robust (calibrated UQ),8.865062326071786,67.87270891252834,0.0
9,Robust (calibrated UQ),9.205274422672998,67.02107928906031,0.0
10,Robust (calibrated UQ),9.3113415008989,64.28992823073216,0.0
11,Robust (calibrated UQ),8.267805165661516,66.58005138058523,0.0
12,Robust (calibrated UQ),7.17392820195858,69.20764894920475,0.0
13,Robust (calibrated UQ),6.1732610198912266,72.04052532603639,0.0
14,Robust (calibrated UQ),6.157308404113544,75.19406661403252,0.0
15,Robust (calibrated UQ),6.372014669858714,79.01296285374444,0.0
16,Robust (calibrated UQ),6.242926503786384,85.50172557295417,0.0
17,Robust (calibrated UQ),8.200365978833574,92.61732299507507,0.0
18,Robust (calibrated UQ),10.01074619475145,77.49264187000362,0.0
19,Robust (calibrated UQ),11.694051114930009,32.53960554158667,0.0
20,Robust (calibrated UQ),10.043523412336963,29.606707605489525,0.0
21,Robust (calibrated UQ),8.292581392944987,32.939718766188165,0.0
22,Robust (calibrated UQ),6.2614449576093465,36.37352922071462,0.0
23,Robust (calibrated UQ),6.202045684017368,38.96697489926846,0.0
24,Robust (calibrated UQ),6.047166653576951,41.785809273134284,0.0
25,Robust (calibrated UQ),5.945083861848135,44.42922028566044,0.0
26,Robust (calibrated UQ),5.251664862502532,46.87200770627018,0.0
27,Robust (calibrated UQ),5.876226360064708,49.20841048113733,0.0
28,Robust (calibrated UQ),6.138856062068322,51.431613980558424,0.0
29,Robust (calibrated UQ),6.510349760279088,53.51596567084662,0.0
30,Robust (calibrated UQ),6.590309494561303,55.45379759872365,0.0
31,Robust (calibrated UQ),7.928821224487812,57.36848119297841,0.0
32,Robust (calibrated UQ),8.644063925916184,59.32485402744254,0.0
33,Robust (calibrated UQ),9.115802311359461,61.40666615375,0.0
34,Robust (calibrated UQ),9.570850713140894,63.3182327154181,0.0
35,Robust (calibrated UQ),7.7948835639488365,65.82037147816966,0.0
36,Robust (calibrated UQ),7.124710482900238,68.55243553929955,0.0
37,Robust (calibrated UQ),6.760773688352178,71.4926454833478,0.0
38,Robust (calibrated UQ),5.986393657878589,74.69860250371589,0.0
39,Robust (calibrated UQ),6.123540483799585,78.23131416838899,0.0
40,Robust (calibrated UQ),6.729716629811869,83.20583835883903,0.0
41,Robust (calibrated UQ),8.419154564586542,92.61732302100411,0.0
42,Robust (calibrated UQ),10.384745789191053,88.5725111213477,0.0
43,Robust (calibrated UQ),12.547600736927674,46.20166289406234,0.0
44,Robust (calibrated UQ),11.813785267628578,16.83410835617597,7.870193385883795e-11
45,Robust (calibrated UQ),7.742095129486823,16.83410835617597,1.2690057893394169e-09
46,Robust (calibrated UQ),6.972347705900083,16.83410835617597,1.6697037086288447e-09
47,Robust (calibrated UQ),6.155568325267603,17.646540968797748,1.6697037086288447e-09
