hour,strategy,signal,soc_pct,cum_shortfall
0,Naive,40.13474507980052,16.834108370238177,0.0
1,Naive,36.76735478574563,16.83410836792621,0.0
2,Naive,31.12657091661838,79.96201468517457,0.0
3,Naive,28.222560715988646,95.0,3.8566954660715753
4,Naive,32.281128396066784,95.0,7.713390932692008
5,Naive,38.1895908478245,95.0,11.570086399375949
6,Naive,53.220484522363144,95.0,15.426781865802052
7,Naive,71.00807009146173,16.83410836246561,15.426781865802052
8,Naive,66.61054074696216,16.834108365149085,15.426781865802052
9,Naive,62.71952870071457,16.834108368399313,15.426781865802052
10,Naive,60.06775109905222,16.83410836458005,15.426781865802052
11,Naive,52.017235523370225,16.834108383718675,15.426781865802052
12,Naive,47.13257779408308,16.83410843790717,15.426781865802052
13,Naive,42.033193375007386,95.0,15.533477336504648
14,Naive,45.19178946034574,95.0,19.390172783804715
15,Naive,49.016620207262925,94.99999987729463,19.390172783804715
16,Naive,45.32465669468112,95.0,23.2468682496408
17,Naive,58.503393978817904,95.0,23.86672161222201
18,Naive,62.45272504770679,95.0,24.486574973177
19,Naive,71.74695850449443,16.834108480069712,24.486574973177
20,Naive,62.80325190199213,16.834108447849978,24.486574973177
21,Naive,59.584412559931245,16.834108420429345,24.486574973177
22,Naive,45.63603277062193,16.83410867612638,24.486574973177
23,Naive,47.434189363754726,16.834108537006863,24.486574973177
24,Naive,40.63403938401401,16.83410851554794,24.486574973177
25,Naive,35.37213683430314,16.834108500509064,24.486574973177
26,Naive,25.41694263868976,95.0,24.59327044198545
27,Naive,29.07802975835924,95.0,28.449965900409516
28,Naive,33.36965163311582,95.0,32.3066613626531
29,Naive,41.856301313181156,95.0,36.16335682206073
30,Naive,46.48207123870868,95.0,40.020052286728685
31,Naive,61.68087149558091,94.99999999968553,40.020052286728685
32,Naive,63.912830912866994,16.834108366114737,40.020052286728685
33,Naive,61.725044740673795,16.834108369429188,40.020052286728685
34,Naive,62.708436333713635,16.834108363302224,40.020052286728685
35,Naive,47.30614201214331,16.83410838215454,40.020052286728685
36,Naive,46.616825042811456,16.83410843747301,40.020052286728685
37,Naive,48.62674217731717,16.834108435992754,40.020052286728685
38,Naive,43.182927976915586,95.0,40.126747757260965
39,Naive,46.018836521060926,95.0,43.98344322389281
40,Naive,51.234846750684895,95.0,47.840138690566754
41,Naive,61.03640777589296,95.0,51.69683415717249
